contract,status,funded,split_sheet,split_mca,K_sheet,comm_pct_mca_now,feein_sheet,feein_mca_orig,paid_sheet_exJ,paid_pending_share,paid_cleared_share,feeout_sheet,feeout_mca_on_cleared,J_sheet,flag
5674187663,Open,42500.0,0.01,0.01,0.12,0.12,67.99,68.0,208.25,208.25,182.22,8.33,7.29,,PENDING
5674187666,Lowered Payments,40000.0,0.01,0.01,0.05,0.05,36.0,36.0,42.13,42.13,21.14,1.68,0.85,,PENDING
5674187683,Open,15000.0,0.01,0.01,0.1,0.1,20.99,21.0,113.99,114.0,99.75,4.55,3.99,,PENDING
5674187793,Open,20000.0,0.01,0.01,0.1,0.1,27.99,28.0,74.49,74.5,62.08,2.98,2.48,,PENDING
5674188045,Closed,275000.0,0.01,0.01,0.08,0.08,330.01,330.0,3616.44,3616.44,3616.44,144.66,144.66,,
5674188179,Open,20000.0,0.01,0.01,0.05,0.05,18.0,18.0,104.31,104.3,89.4,4.17,3.58,,PENDING
5674188274,Open,50000.0,0.01,0.01,0.12,0.12,80.0,80.0,230.99,231.0,196.0,9.24,7.84,,PENDING
5674188310,Open,12500.0,0.01,0.01,0.07,0.07,13.75,13.75,25.01,25.0,20.0,1.0,0.8,,PENDING
5674188317,Closed,10000.0,0.01,0.01,0.05,0.05,8.99,9.0,152.0,152.0,152.0,6.07,6.08,,
5674188324,Open,50000.0,0.01,0.01,0.12,0.12,80.01,80.0,172.5,172.5,143.75,6.9,5.75,,PENDING
5674188350,EPA/LOC,200000.0,0.01,0.01,0.12,0.12,320.0,320.0,2490.0,2490.0,2490.0,99.61,99.6,,
5674188351,Open,200000.0,0.01,0.01,0.12,0.12,320.0,320.0,809.2,809.2,690.2,32.38,27.61,,PENDING
5674188378,Open,40000.0,0.01,0.01,0.12,0.12,64.0,64.0,192.0,192.0,162.0,7.68,6.48,,PENDING
5674188393,Open,15000.0,0.01,0.01,0.05,0.05,13.5,13.5,31.04,31.04,24.83,1.24,0.99,,PENDING
5674188401,Open,50000.0,0.01,0.01,0.05,0.05,45.01,45.0,166.93,166.92,140.0,6.68,5.6,,PENDING
5674188402,Open,200000.0,0.01,0.01,0.12,0.12,320.0,320.0,413.88,413.89,380.78,16.56,15.23,,PENDING
5674188459,Open,10000.0,0.01,0.01,0.05,0.05,9.0,9.0,70.0,70.0,57.5,2.8,2.3,,PENDING
5674188469,Open,30000.0,0.02,0.02,0.12,0.12,96.0,96.0,112.51,112.5,75.0,4.5,3.0,,PENDING
5674188893,Open,42000.0,0.01,0.01,0.05,0.05,37.8,33.6,107.93,107.92,86.34,4.32,2.59,,PENDING
5674189436,Open,380000.0,0.01,0.01,0.12,0.12,607.99,570.0,650.0,650.0,487.5,26.01,14.62,,PENDING
5674189682,Open,32000.0,0.01,0.01,0.12,0.12,51.19,48.0,55.71,55.72,35.82,2.23,1.07,,PENDING
5674189693,Open,30000.0,0.01,0.01,0.12,0.12,48.0,45.0,79.41,79.41,52.94,3.18,1.59,,PENDING
5674189778,Open,100000.0,0.01,0.01,0.12,0.12,160.01,150.0,117.63,117.63,78.42,4.71,2.35,,PENDING
5674189814,Open,15000.0,0.01,0.01,0.1,0.1,20.99,19.5,44.99,45.0,30.0,1.8,0.9,,PENDING
5674189817,Open,20000.0,0.01,0.01,0.05,0.05,17.99,16.0,58.0,58.0,39.88,2.32,1.2,,PENDING
5674189907,Open,15000.0,0.01,0.01,0.05,0.05,13.49,12.0,18.39,18.39,11.82,0.73,0.35,,PENDING
5674189938,Open,20000.0,0.01,0.01,0.05,0.05,18.0,16.0,45.88,45.88,28.24,1.84,0.85,,PENDING
5674190031,Open,30000.0,0.01,0.01,0.05,0.05,27.01,24.0,44.99,45.0,30.0,1.8,0.9,,PENDING
5674190088,Open,22000.0,0.01,0.01,0.1,0.1,30.8,28.6,49.5,49.5,28.88,1.97,0.87,,PENDING
5674190125,Open,30000.0,0.01,0.01,0.05,0.05,27.01,24.0,36.25,36.25,18.12,1.45,0.54,,PENDING
5674190223,Open,21000.0,0.01,0.01,0.05,0.05,18.9,16.8,37.0,37.0,12.33,1.49,0.37,,PENDING
